street_address,city,region,postal_code,iso_country_code,notes
"1543 Mission Street","San Francisco","CA","94105","US","Basic address"
"1543 Mission Street APT 1","San Francisco","CA","94105","US","Apartment 1"
"1543 Mission Street APT 3","San Francisco","CA","94105","US","Apartment 3"
"1543 Mission Street APT 5","San Francisco","CA","94105","US","Apartment 5"
"1543 Mission Street UNIT 101","San Francisco","CA","94105","US","Unit format"
"1543 Mission Street SUITE 200","San Francisco","CA","94105","US","Suite format"
"123 Main Street BUILDING 1 RM 509","New York","NY","10001","US","Building + Room"
"456 Oak Avenue #2B","Los Angeles","CA","90210","US","Hash format"
"789 Pine Street Apt. 4C","Chicago","IL","60601","US","Abbreviated format"
"321 Elm Drive Unit A","Miami","FL","33101","US","Letter unit"
"654 Maple Lane BLDG 3 APT 12","Seattle","WA","98101","US","Building + Apartment"
"987 Cedar Court","Austin","TX","73301","US","No apartment info"
"147 Birch Boulevard Floor 2","Boston","MA","02101","US","Floor designation"
"258 Spruce Street Penthouse","Denver","CO","80201","US","Penthouse"
"369 Willow Way Basement","Portland","OR","97201","US","Basement unit"
